dog_count,primary_breed,address
68,Pit Bull Terrier,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
57,Belgian Shepherd / Malinois,"Imlay City, MI 48444"
53,Pit Bull Terrier,"Saginaw, MI 48602"
47,Pit Bull Terrier,"Detroit, MI 48202"
46,Mixed Breed,"14345 Bagley St , West Olive, MI 49460"
44,Terrier,"G-4351 W Pasadena Avenue , Flint, MI 48504"
40,Mixed Breed,"6955 West KL Ave Pet Rescue & Adoption Center, Kalamazoo, MI 49009"
39,Mixed Breed,"3279 E Laketon Ave , Muskegon, MI 49442"
35,Mixed Breed,"3077 Wilson Dr. NW Walker, MI 49534, Grand Rapids, MI 49534"
25,Mixed Breed,"16121 Reckinger Road , Dearborn, MI 48121"
25,Pit Bull Terrier,"3100 Cherry Hill Road , Ann Arbor, MI 48105"
25,Pit Bull Terrier,"323 M-62 North PO Box 132, Cassopolis, MI 49031"
20,Pit Bull Terrier,"Warren, MI 48089"
19,Mixed Breed,"07591 Blue Star Hwy , South Haven, MI 49090"
17,Labrador Retriever,"3279 E Laketon Ave , Muskegon, MI 49442"
17,Mixed Breed,"2752 W. Bennington Road , Owosso, MI 48867"
17,Mixed Breed,"Grand Rapids, MI 49503"
15,American Staffordshire Terrier,"740 Fuller Ave. NE , Grand Rapids, MI 49503"
15,Hound,"219 Peekstock Drive , Kalamazoo, MI 49001"
15,Terrier,"Birmingham, MI 48012"
14,Mixed Breed,"G-4351 W Pasadena Avenue , Flint, MI 48504"
13,Dutch Shepherd,"Imlay City, MI 48444"
13,Terrier,"8935 Thompson Rd. , Lake Odessa, MI 48849"
11,Mixed Breed,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
11,Mixed Breed,"2293 33rd Street , Allegan, MI 49010"
11,Mixed Breed,"7095 West Grand River Avenue , Lansing, MI 48906"
10,Pit Bull Terrier,"7887 Chrysler Drive , Detroit, MI 48211"
10,Weimaraner,"Grand Rapids, MI 49525"
9,Hound,"Ferndale, MI 48220"
9,Labrador Retriever,"Livonia, MI 48152"
9,Mixed Breed,"Charlotte, MI 48813"
9,Mixed Breed,"Holly, MI 48442"
9,Mixed Breed,"St Johns, MI 48879"
9,Pit Bull Terrier,"614 Beardsley St. , Boyne City, MI 49712"
9,Shepherd,"Macomb, MI 48042"
9,Shepherd,"Muskegon, MI 49442"
8,American Bulldog,"Detroit, MI 48202"
8,American Staffordshire Terrier,"Oak Park, MI 48237"
8,Australian Cattle Dog / Blue Heeler,"Grand Rapids, MI 49548"
8,Pit Bull Terrier,"3390 S Dog Track Rd. , Baldwin, MI 49304"
8,Pit Bull Terrier,"Clinton Township, MI 48036"
8,Pit Bull Terrier,"Saginaw, MI 48603"
8,Terrier,"Detroit, MI 48216"
7,American Staffordshire Terrier,"Grand Rapids, MI 49505"
7,Boxer,"Birmingham, MI 48012"
7,Chihuahua,"Muskegon, MI 49442"
7,German Shepherd Dog,"Ferndale, MI 48220"
7,German Shepherd Dog,"Warren, MI 48089"
7,Labrador Retriever,"Muskegon, MI 49442"
7,Mixed Breed,"Metamora, MI 48455"
7,Pit Bull Terrier,"Oxford, MI 48371"
6,American Staffordshire Terrier,"Troy, MI 48099"
6,American Staffordshire Terrier,"White Lake, MI 48386"
6,Australian Kelpie,"Muskegon, MI 49442"
6,Boxer,"Saginaw, MI 48603"
6,Hound,"Plymouth, MI 48170"
6,Labrador Retriever,"8935 Thompson Rd. , Lake Odessa, MI 48849"
6,Labrador Retriever,"Birmingham, MI 48012"
6,Labrador Retriever,"Ferndale, MI 48220"
6,Mixed Breed,"323 M-62 North PO Box 132, Cassopolis, MI 49031"
6,Pit Bull Terrier,"1316 Lamont Ave , Kalamazoo, MI 49001"
6,Pit Bull Terrier,"Detroit, MI 48219"
6,Pit Bull Terrier,"Eastpointe, MI 48021"
6,Pit Bull Terrier,"P.O. Box 233 , Belleville, MI 48111"
6,Pit Bull Terrier,"P.O. Box 51935 , Livonia, MI 48151"
6,Pit Bull Terrier,"Westland, MI 48185"
6,Terrier,"27796 John R , Madison Heights, MI 48071"
6,Terrier,"Macomb, MI 48042"
5,Beagle,"Livonia, MI 48152"
5,German Shepherd Dog,"Muskegon, MI 49442"
5,Mixed Breed,"Detroit, MI 48219"
5,Pit Bull Terrier,"13569 Joseph Campau , Detroit, MI 48212"
5,Pit Bull Terrier,"Oak Park, MI 48237"
5,Terrier,"PO Box 180155 , Utica, MI 48318"
5,Terrier,"Plymouth, MI 48170"
4,American Bulldog,"3279 E Laketon Ave , Muskegon, MI 49442"
4,American Bulldog,"Ferndale, MI 48220"
4,American Staffordshire Terrier,"Flint, MI 48503"
4,American Staffordshire Terrier,"PO Box 285 , Frankenmuth, MI 48734"
4,Border Collie,"Eagle, MI 48822"
4,Chihuahua,"Plymouth, MI 48170"
4,Dachshund,"Muskegon, MI 49442"
4,German Shepherd Dog,"2293 33rd Street , Allegan, MI 49010"
4,German Shepherd Dog,"323 M-62 North PO Box 132, Cassopolis, MI 49031"
4,German Shepherd Dog,"8935 Thompson Rd. , Lake Odessa, MI 48849"
4,Great Pyrenees,"Grosse Pointe Park, MI 48230"
4,Greyhound,"P.O. Box 194 , Wayne, MI 48184"
4,Hound,"5310 W. Houghton Lake Rd (M-55) P.O. Box D, Lake City, MI 49651"
4,Husky,"3279 E Laketon Ave , Muskegon, MI 49442"
4,Husky,"Gladwin, MI 48624"
4,Labrador Retriever,"1406 6th Ave , Cadillac, MI 49601"
4,Labrador Retriever,"Detroit, MI 48216"
4,Mixed Breed,"219 Peekstock Drive , Kalamazoo, MI 49001"
4,Mixed Breed,"2266 N Lapeer Road , Lapeer, MI 48446"
4,Pit Bull Terrier,"11350 22 Mile Road , Utica, MI 48317"
4,Pit Bull Terrier,"1300 West Conway Road , Harbor Springs, MI 49740"
4,Pit Bull Terrier,"18400 220th Avenue , Big Rapids, MI 49307"
4,Pit Bull Terrier,"2293 33rd Street , Allegan, MI 49010"
4,Pit Bull Terrier,"3750 Foco Rd PO Box 1131, Standish, MI 48658"
4,Pit Bull Terrier,"51299 Arkona Rd. , Belleville, MI 48111"
4,Pit Bull Terrier,"Grand Rapids, MI 49505"
4,Pit Bull Terrier,"New Baltimore, MI 48047"
